Ref_Date,GEO,OCC,Vector,Coordinate,Value
2010/01,Alberta,All occupations,v64592991,10.1,69680
2010/02,Alberta,All occupations,v64592991,10.1,67830
2009/08,Alberta,All occupations,v64592991,10.1,67740
2009/07,Alberta,All occupations,v64592991,10.1,66790
2009/12,Alberta,All occupations,v64592991,10.1,65800
2010/03,Alberta,All occupations,v64592991,10.1,65720
2009/06,Alberta,All occupations,v64592991,10.1,63680
2009/04,Alberta,All occupations,v64592991,10.1,63660
2009/05,Alberta,All occupations,v64592991,10.1,63420
2015/12,Alberta,All occupations,v64592991,10.1,62630
2009/11,Alberta,All occupations,v64592991,10.1,62180
2010/04,Alberta,All occupations,v64592991,10.1,61850
2009/09,Alberta,All occupations,v64592991,10.1,59740
2009/10,Alberta,All occupations,v64592991,10.1,59370
2009/03,Alberta,All occupations,v64592991,10.1,58170
2015/08,Alberta,All occupations,v64592991,10.1,56460
2015/07,Alberta,All occupations,v64592991,10.1,55440
2010/05,Alberta,All occupations,v64592991,10.1,54700
2015/11,Alberta,All occupations,v64592991,10.1,54340
2011/01,Alberta,All occupations,v64592991,10.1,53490
2011/02,Alberta,All occupations,v64592991,10.1,52530
2010/08,Alberta,All occupations,v64592991,10.1,51490
2010/07,Alberta,All occupations,v64592991,10.1,50670
2015/06,Alberta,All occupations,v64592991,10.1,50610
2010/06,Alberta,All occupations,v64592991,10.1,50550
2015/04,Alberta,All occupations,v64592991,10.1,49720
2015/10,Alberta,All occupations,v64592991,10.1,49560
2011/03,Alberta,All occupations,v64592991,10.1,49350
2015/05,Alberta,All occupations,v64592991,10.1,48690
2010/12,Alberta,All occupations,v64592991,10.1,48510
2015/09,Alberta,All occupations,v64592991,10.1,48500
2015/03,Alberta,All occupations,v64592991,10.1,47120
2011/04,Alberta,All occupations,v64592991,10.1,46250
2009/02,Alberta,All occupations,v64592991,10.1,44980
2010/11,Alberta,All occupations,v64592991,10.1,44090
2015/02,Alberta,All occupations,v64592991,10.1,43170
2010/09,Alberta,All occupations,v64592991,10.1,42620
2010/10,Alberta,All occupations,v64592991,10.1,41170
2011/05,Alberta,All occupations,v64592991,10.1,38620
2012/01,Alberta,All occupations,v64592991,10.1,38280
2015/01,Alberta,All occupations,v64592991,10.1,37720
2012/02,Alberta,All occupations,v64592991,10.1,37130
2011/08,Alberta,All occupations,v64592991,10.1,36640
2014/01,Alberta,All occupations,v64592991,10.1,36180
2011/06,Alberta,All occupations,v64592991,10.1,36080
2005/01,Alberta,All occupations,v64592991,10.1,35850
2009/01,Alberta,All occupations,v64592991,10.1,35660
2014/02,Alberta,All occupations,v64592991,10.1,35640
2012/03,Alberta,All occupations,v64592991,10.1,35110
2013/01,Alberta,All occupations,v64592991,10.1,35020
2013/02,Alberta,All occupations,v64592991,10.1,34670
2005/02,Alberta,All occupations,v64592991,10.1,34260
