Type,Year,Month,Month_text,Sales,New_Listings,Active_Listings,AverageDOM,Average_Price,Median_Price,Benchmark_Price
All,2014,12,Dec,.,.,.,.,.,.,.
SFD,2014,12,Dec,.,.,.,.,.,.,.
RES,2014,12,Dec,.,.,.,.,.,.,.
SFD,2014,9,Sep,1396,2145,2961,35,567632,488750,512800
SFD,2014,6,Jun,1765,2598,3128,28,562714,490000,509700
SFD,2014,11,Nov,1181,1319,2373,38,560117,478000,511300
SFD,2014,3,Mar,1695,2197,2052,27,556726,490000,490600
SFD,2014,10,Oct,1462,1870,2780,37,555251,490000,513500
SFD,2014,5,May,2024,2945,2919,26,554745,490000,504300
SFD,2014,7,Jul,1549,2135,3056,32,553490,484900,511600
SFD,2014,2,Feb,1229,1779,1894,29,550531,480000,482800
SFD,2014,4,Apr,1733,2581,2445,25,547220,484500,496700
SFD,2014,8,Aug,1474,2057,3021,34,545005,478000,512300
SFD,2013,12,Dec,772,649,1515,45,527634,463500,472200
SFD,2013,6,Jun,1630,2146,3199,33,526021,450000,459700
SFD,2013,7,Jul,1573,1956,2917,37,524976,448000,461600
SFD,2013,5,May,1758,2657,3311,31,521226,452750,456900
SFD,2014,1,Jan,973,1581,1671,40,520678,459900,476700
SFD,2013,2,Feb,1207,1874,2408,37,518480,437500,442500
SFD,2013,3,Mar,1479,2233,2727,33,518468,450000,446500
SFD,2013,8,Aug,1513,1963,2791,37,517206,449900,464700
SFD,2013,10,Oct,1333,1736,2705,38,516375,452000,468000
SFD,2013,11,Nov,1193,1233,2171,39,515491,455000,470600
SFD,2013,9,Sep,1351,1972,2789,37,512296,450000,463700
SFD,2013,4,Apr,1606,2406,2977,31,509942,449900,452900
SFD,2007,7,Jul,1492,2535,4388,36,506671,435000,451300
SFD,2012,5,May,1707,2706,3842,37,501684,435900,427500
SFD,2007,6,Jun,1745,3296,4360,30,497164,438000,450800
SFD,2012,12,Dec,743,620,1859,51,496841,420000,434800
SFD,2013,1,Jan,878,1732,2075,47,496821,436250,436900
RES,2016,5,May,1923,3317,6178,42,494085,433000,439700
SFD,2012,10,Oct,1169,1615,3105,43,492772,430000,433300
All,2014,6,Jun,2665,3815,4726,29,492147,428000,457100
SFD,2012,6,Jun,1605,2366,3817,36,489528,430000,430800
SFD,2011,5,May,1308,2536,4545,41,488862,423000,400800
All,2014,10,Oct,2147,2918,4428,37,488474,431000,460700
SFD,2012,11,Nov,1006,1156,2586,49,488307,420000,433600
SFD,2007,5,May,1980,3641,3694,25,487858,435000,446300
All,2014,9,Sep,2146,3258,4589,36,487211,425000,459600
All,2014,5,May,2944,4327,4504,27,486371,434750,452100
All,2014,11,Nov,1782,2091,3849,38,485962,429000,459600
SFD,2007,8,Aug,1310,2827,4785,40,485567,430000,449600
RES,2016,6,Jun,2028,3078,5973,46,485504,430000,440400
All,2014,3,Mar,2482,3318,3233,28,484911,430400,439500
SFD,2010,5,May,1251,2952,5582,38,483996,420000,411200
RES,2015,6,Jun,2182,3121,5138,40,483706,430000,459300
RES,2014,5,May,3915,6036,7711,34,483523,425400,É..
SFD,2012,4,Apr,1580,2284,3501,38,483045,421500,422000
All,2014,2,Feb,1850,2709,2892,30,482783,424900,433500
All,2014,7,Jul,2329,3219,4659,33,482523,425900,458300
SFD,2010,6,Jun,1055,2707,5917,40,481880,418900,408600
RES,2014,6,Jun,3641,5373,8090,36,480466,420000,447500
SFD,2011,6,Jun,1385,2394,4648,43,480283,418000,401300
RES,2014,10,Oct,2910,3916,7294,45,479740,421250,451300
SFD,2011,4,Apr,1211,2285,4327,41,479304,420000,400100
SFD,2008,5,May,1362,3405,7047,42,479122,419000,426700
RES,2015,5,May,2186,3168,5393,41,478850,433000,457800
All,2014,4,Apr,2540,3754,3794,27,478759,429000,445500
SFD,2012,7,Jul,1382,1879,3646,40,478557,419450,432400
RES,2014,9,Sep,2911,4375,7740,43,478071,418000,450400
SFD,2007,3,Mar,2259,3116,2348,24,477862,427000,426000
RES,2014,3,Mar,3229,4564,5783,34,477690,424000,430500
All,2014,8,Aug,2263,3148,4596,35,477101,423000,459000
RES,2016,4,Apr,1769,3217,6252,46,476832,430000,441000
RES,2015,7,Jul,1991,2988,5134,40,476520,435000,459100
RES,2014,7,Jul,3249,4565,8057,41,476244,420000,448700
SFD,2012,8,Aug,1167,1809,3535,43,475679,420000,432600
SFD,2008,4,Apr,1358,3362,6630,41,474834,420000,430000
RES,2014,2,Feb,2392,3660,5291,39,474126,415000,424400
RES,2016,2,Feb,1130,2908,5684,43,473940,420000,445000
RES,2015,3,Mar,1777,3129,5704,38,473680,420000,458900
SFD,2008,6,Jun,1430,2762,6498,47,473532,408000,421300
SFD,2007,4,Apr,2063,3087,2871,24,473425,431000,437100
RES,2014,4,Apr,3407,5151,6593,34,473007,420000,436200
SFD,2012,3,Mar,1575,2346,3367,40,472698,412000,411000
SFD,2008,3,Mar,1410,3471,5921,40,472391,420000,429600
SFD,2008,2,Feb,1241,2974,4909,40,471776,428800,426500
RES,2014,8,Aug,3041,4345,7988,39,471525,416000,449400
SFD,2010,3,Mar,1388,2964,3956,33,470994,422950,412600
SFD,2012,2,Feb,1281,1999,3093,48,470033,414800,404800
RES,2014,11,Nov,2315,2833,6454,43,469748,416500,450400
RES,2015,4,Apr,1963,3064,5637,40,469572,418000,456700
SFD,2007,9,Sep,1052,3095,5337,41,469367,421000,446100
SFD,2012,9,Sep,1126,1887,3486,42,468964,412750,432900
SFD,2011,11,Nov,953,1275,3674,52,468844,404500,399700
RES,2016,3,Mar,1590,3226,6103,43,468642,422250,442800
All,2013,6,Jun,2306,2998,4584,35,466384,405250,411300
SFD,2011,9,Sep,1035,2302,4661,48,466192,400000,400100
RES,2015,8,Aug,1642,2742,5215,40,465421,422250,459300
RES,2013,11,Nov,2228,2454,5830,48,465171,405000,415000
SFD,2009,11,Nov,1086,1348,2607,42,465085,408500,399900
SFD,2010,7,Jul,909,1927,5460,45,463133,400000,404100
SFD,2009,10,Oct,1278,1792,2957,42,463000,410625,397100
RES,2015,12,Dec,879,1491,4340,49,462674,408000,452800
All,2014,1,Jan,1438,2394,2524,40,462234,417250,428200
SFD,2007,11,Nov,1097,1943,4690,46,462027,407000,433600
SFD,2011,2,Feb,1157,2245,3436,45,461946,399900,392300
SFD,2011,3,Mar,1344,2417,3958,39,461579,398250,396800
RES,2015,11,Nov,1262,2181,5320,45,461303,410575,454800
SFD,2010,9,Sep,954,2232,4807,53,461247,390000,393300
SFD,2010,4,Apr,1345,3058,4922,36,461186,418000,412100
All,2013,3,Mar,2107,3192,4007,35,461038,403000,399700
All,2013,5,May,2534,3714,4743,32,461006,405500,408900
RES,2015,1,Jan,877,3269,4792,41,460646,422000,462400
All,2013,7,Jul,2264,2725,4092,39,460181,399650,413400
RES,2015,2,Feb,1207,2935,5531,35,460039,420000,460900
SFD,2010,2,Feb,1029,2141,3063,34,458947,411000,408100
RES,2015,9,Sep,1449,3095,5599,40,458655,425000,459300
All,2013,10,Oct,1948,2521,3841,40,458655,408750,420700
SFD,2009,9,Sep,1245,1844,3112,40,458535,400000,394200
RES,2013,12,Dec,1497,1348,4437,53,458374,400000,416300
All,2013,11,Nov,1724,1824,3156,40,458157,407500,423500
RES,2015,10,Oct,1422,2691,5621,41,457591,419000,457400
RES,2013,6,Jun,3057,4184,8189,42,457543,400000,404000
All,2013,2,Feb,1706,2670,3539,38,457349,394950,395200
SFD,2008,7,Jul,1303,2547,5987,52,457183,408800,415000
RES,2016,1,Jan,765,2742,5023,51,456889,407500,447800
SFD,2011,7,Jul,1142,2030,4544,49,456374,409000,401100
SFD,2008,1,Jan,1077,3014,3965,50,456116,410000,423900
SFD,2010,11,Nov,886,1298,3805,53,456023,399900,385700
SFD,2011,10,Oct,983,1773,4390,52,455430,395000,399700
RES,2014,1,Jan,1842,3307,4830,49,455402,410000,419500
SFD,2011,12,Dec,717,753,2705,58,454992,395000,399900
SFD,2011,8,Aug,1101,2095,4491,49,454595,403000,399700
All,2013,12,Dec,1171,972,2236,46,454387,406000,424700
All,2013,9,Sep,1919,2793,3922,36,454151,402500,417000
All,2013,8,Aug,2192,2773,3898,38,453859,399000,416400
SFD,2009,8,Aug,1266,1896,3244,42,453836,400000,390700
SFD,2011,1,Jan,782,1949,3011,57,453766,390000,387200
RES,2013,2,Feb,2128,3638,6366,47,453384,386500,388500
SFD,2009,12,Dec,785,800,2010,47,452908,401000,402200
RES,2013,9,Sep,2545,3776,7152,45,452837,398000,409100
RES,2013,5,May,3303,5189,8485,40,452735,395000,401900
All,2007,7,Jul,2094,3648,5998,35,452589,396750,419200
RES,2007,7,Jul,2596,4601,8920,38,452502,394950,413700
RES,2013,10,Oct,2541,3451,6944,46,452283,396000,412300
RES,2013,3,Mar,2676,4425,7169,42,451662,395000,393000
SFD,2007,10,Oct,1113,2577,5479,41,451637,412500,440400
RES,2013,7,Jul,3023,3958,7646,47,451412,390000,406300
SFD,2007,2,Feb,1936,2190,1868,30,448654,407750,412600
SFD,2009,6,Jun,1821,2221,3343,44,446930,399400,381700
RES,2007,6,Jun,3094,5738,8467,31,446350,390000,411800
SFD,2010,8,Aug,861,1947,4982,51,446062,395000,398000
All,2013,4,Apr,2374,3475,4366,33,445955,399694,405500
RES,2013,8,Aug,2894,3850,7550,45,445737,390000,408900
SFD,2010,10,Oct,882,1744,4461,51,445060,390000,388100
All,2012,5,May,2381,3803,5739,40,445034,390000,382000
RES,2012,5,May,3041,5230,9864,48,444281,385000,375600
SFD,2008,9,Sep,1148,2620,5348,52,443964,395000,409100
SFD,2008,10,Oct,816,2302,5470,48,443756,390000,404800
All,2007,6,Jun,2534,4549,5785,29,443022,393000,417500
SFD,2007,12,Dec,841,976,3328,52,443022,406000,425800
RES,2007,5,May,3531,6144,.,27,442580,394000,406800
RES,2013,4,Apr,3048,4889,7854,42,442076,390000,398300
SFD,2010,12,Dec,730,740,2818,59,441753,389000,385700
All,2012,6,Jun,2196,3305,5715,40,441718,392000,384500
SFD,2010,1,Jan,753,1811,2470,43,441693,398000,403900
SFD,2008,8,Aug,1165,2260,5499,52,441136,398000,412400
SFD,2012,1,Jan,763,1714,2918,59,440478,395000,400800
RES,2007,8,Aug,2427,5056,9586,41,440213,389300,413300
All,2013,1,Jan,1229,2493,3084,50,439763,391000,390700
All,2007,5,May,2867,4970,.,25,439704,397000,412300
SFD,2009,7,Jul,1569,2069,3261,43,437646,390000,386700
RES,2010,5,May,2168,5350,12881,44,437037,380000,371800
All,2012,10,Oct,1659,2312,4583,46,437030,386000,387100
All,2012,12,Dec,1081,880,2722,54,436866,375000,388400
SFD,2009,5,May,1574,2216,3798,46,436814,390000,377300
RES,2008,5,May,2395,6254,14879,47,435441,382500,391700
SFD,2008,11,Nov,666,1552,5022,55,435377,387900,397800
RES,2012,6,Jun,2903,4566,9802,49,434909,385000,378500
All,2012,11,Nov,1456,1632,3831,51,433944,375000,387500
All,2007,8,Aug,1908,4015,6630,38,433924,390000,418800
RES,2007,9,Sep,1950,5483,10951,44,433600,385500,410800
RES,2007,4,Apr,3550,5261,.,27,433357,392000,398100
SFD,2007,1,Jan,1492,2304,2021,39,433284,380000,402000
RES,2010,6,Jun,1861,4943,13349,47,433167,372000,369900
All,2011,5,May,1810,3552,6626,43,433069,380000,364200
All,2007,4,Apr,2899,4244,4582,24,432041,397000,403300
RES,2013,1,Jan,1588,3462,5713,59,431889,382750,384300
RES,2012,10,Oct,2151,3134,7798,54,431596,380000,381300
All,2010,5,May,1769,4172,8224,40,431492,380000,376600
RES,2008,3,Mar,2414,6377,12537,46,431486,388000,394500
RES,2011,5,May,2264,4867,11551,51,430997,372750,359700
RES,2008,6,Jun,2432,5267,14171,51,430049,379850,387000
RES,2012,12,Dec,1367,1299,5167,64,429845,370000,381900
RES,2008,4,Apr,2447,6117,14405,47,429529,378000,394900
All,2008,5,May,1935,4950,10352,45,429422,384000,395900
RES,2012,4,Apr,2787,4562,9115,49,429419,378000,371800
SFD,2006,8,Aug,1337,2576,3066,25,429365,386000,404100
All,2008,6,Jun,1985,3997,9587,48,429232,380000,390700
RES,2012,11,Nov,1865,2251,6758,57,429205,374900,381500
RES,2007,10,Oct,2000,4753,11125,44,429078,381000,406100
All,2012,4,Apr,2199,3239,5270,41,428912,382000,377900
SFD,2009,4,Apr,1279,1984,4060,52,427686,382000,374400
