"Table 282-0087 Labour force survey estimates (LFS), by sex and age group, seasonally adjusted and unadjusted, monthly (persons unless otherwise noted)(1,11,13)",,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,
Labour Force Survey - 3701,,,,,,,,,,,,,,,,,,
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta
Labour force characteristics,"Population (x 1,000) (2,14)","Labour force (x 1,000) (3)","Employment (x 1,000) (4)","Employment full-time (x 1,000) (5)","Employment part-time (x 1,000) (6)","Unemployment (x 1,000) (7)",Unemployment rate (percent) (8),Participation rate (percent) (9),Employment rate (percent) (10),"Population (x 1,000) (2,14)","Labour force (x 1,000) (3)","Employment (x 1,000) (4)","Employment full-time (x 1,000) (5)","Employment part-time (x 1,000) (6)","Unemployment (x 1,000) (7)",Unemployment rate (percent) (8),Participation rate (percent) (9),Employment rate (percent) (10)
Jan-01,24255.3,15707.7,14526,11706.4,2819.6,1181.7,7.5,64.8,59.9,2332.6,1676.5,1582.3,1267.5,314.8,94.2,5.6,71.9,67.8
Feb-01,24280.4,15747.9,14572.4,11754.3,2818.2,1175.5,7.5,64.9,60,2336.8,1674.3,1594.3,1279.8,314.5,80,4.8,71.6,68.2
Mar-01,24308.1,15819.7,14619.1,11833.4,2785.7,1200.7,7.6,65.1,60.1,2341.3,1674.4,1590.5,1280.6,309.8,83.9,5,71.5,67.9
Apr-01,24344.9,15905,14724.3,11957.8,2766.5,1180.7,7.4,65.3,60.5,2347.4,1684.9,1600.7,1292.6,308,84.3,5,71.8,68.2
May-01,24375.1,16228.1,15080.9,12363.2,2717.7,1147.2,7.1,66.6,61.9,2352,1721.6,1642,1349.2,292.8,79.6,4.6,73.2,69.8
Jun-01,24406.3,16332.5,15230.6,12581.7,2648.8,1101.9,6.7,66.9,62.4,2356.8,1736.4,1664.8,1383.4,281.4,71.6,4.1,73.7,70.6
Jul-01,24442.1,16494.4,15297.8,12859,2438.7,1196.7,7.3,67.5,62.6,2362.5,1742.7,1656.9,1395.8,261,85.8,4.9,73.8,70.1
Aug-01,24470.7,16509,15273.1,12926.3,2346.8,1235.8,7.5,67.5,62.4,2368.5,1738.7,1653.6,1400.3,253.3,85.1,4.9,73.4,69.8
Sep-01,24498.4,16092.9,15029.5,12392,2637.5,1063.4,6.6,65.7,61.3,2374,1704.4,1640.1,1345.7,294.4,64.3,3.8,71.8,69.1
Oct-01,24525.1,16105,15023,12273.8,2749.2,1081.9,6.7,65.7,61.3,2379,1711.2,1638.3,1345.6,292.7,72.9,4.3,71.9,68.9
Nov-01,24550.9,16101.7,14951.4,12108.3,2843,1150.4,7.1,65.6,60.9,2384,1710.9,1634.6,1342.2,292.4,76.3,4.5,71.8,68.6
Dec-01,24575,16084.9,14859.5,11996.2,2863.4,1225.4,7.6,65.5,60.5,2388.5,1713.2,1630.6,1339,291.6,82.6,4.8,71.7,68.3
Jan-02,24608.4,16062.7,14659.9,11741.1,2918.8,1402.7,8.7,65.3,59.6,2394.7,1714.3,1622.4,1309.7,312.7,91.8,5.4,71.6,67.7
Feb-02,24634,16092.7,14732.8,11813.1,2919.7,1359.9,8.5,65.3,59.8,2399.4,1708.6,1617.8,1308.9,308.9,90.8,5.3,71.2,67.4
Mar-02,24662.4,16201.1,14846.7,11930.9,2915.8,1354.4,8.4,65.7,60.2,2404.6,1724.3,1632.9,1317.6,315.3,91.4,5.3,71.7,67.9
Apr-02,24699.4,16273.3,14968.3,12071.6,2896.7,1305,8,65.9,60.6,2411.4,1731.2,1631.3,1322.1,309.2,100,5.8,71.8,67.6
May-02,24729.8,16663.6,15352,12519.8,2832.2,1311.6,7.9,67.4,62.1,2416.9,1778.8,1668.1,1376.2,291.9,110.7,6.2,73.6,69
Jun-02,24761,16788.8,15597.9,12804.3,2793.6,1190.8,7.1,67.8,63,2422.5,1788.2,1699.3,1414.8,284.4,88.9,5,73.8,70.1
