Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2010,Canada,Average expenditure per household,All classes,Total expenditure,v54530454,1.1.1.1,72075
2011,Canada,Average expenditure per household,All classes,Total expenditure,v54530454,1.1.1.1,73646
2012,Canada,Average expenditure per household,All classes,Total expenditure,v54530454,1.1.1.1,75695
2013,Canada,Average expenditure per household,All classes,Total expenditure,v54530454,1.1.1.1,79098
2014,Canada,Average expenditure per household,All classes,Total expenditure,v54530454,1.1.1.1,80728
2010,Canada,Average expenditure per household,All classes,Total current consumption,v54530455,1.1.1.2,54013
2011,Canada,Average expenditure per household,All classes,Total current consumption,v54530455,1.1.1.2,55227
2012,Canada,Average expenditure per household,All classes,Total current consumption,v54530455,1.1.1.2,56330
2013,Canada,Average expenditure per household,All classes,Total current consumption,v54530455,1.1.1.2,58576
2014,Canada,Average expenditure per household,All classes,Total current consumption,v54530455,1.1.1.2,59057
2010,Canada,Average expenditure per household,All classes,Food expenditures,v54530456,1.1.1.3,7850
2011,Canada,Average expenditure per household,All classes,Food expenditures,v54530456,1.1.1.3,7791
2012,Canada,Average expenditure per household,All classes,Food expenditures,v54530456,1.1.1.3,7760
2013,Canada,Average expenditure per household,All classes,Food expenditures,v54530456,1.1.1.3,7934
2014,Canada,Average expenditure per household,All classes,Food expenditures,v54530456,1.1.1.3,8109
2010,Canada,Average expenditure per household,All classes,Food purchased from stores,v54530457,1.1.1.4,5709
2011,Canada,Average expenditure per household,All classes,Food purchased from stores,v54530457,1.1.1.4,5573
2012,Canada,Average expenditure per household,All classes,Food purchased from stores,v54530457,1.1.1.4,5564
2013,Canada,Average expenditure per household,All classes,Food purchased from stores,v54530457,1.1.1.4,5718
2014,Canada,Average expenditure per household,All classes,Food purchased from stores,v54530457,1.1.1.4,5880
2010,Canada,Average expenditure per household,All classes,Bakery products,v64476200,1.1.1.43,581
2011,Canada,Average expenditure per household,All classes,Bakery products,v64476200,1.1.1.43,560
2012,Canada,Average expenditure per household,All classes,Bakery products,v64476200,1.1.1.43,531
2013,Canada,Average expenditure per household,All classes,Bakery products,v64476200,1.1.1.43,567
2014,Canada,Average expenditure per household,All classes,Bakery products,v64476200,1.1.1.43,562
2010,Canada,Average expenditure per household,All classes,Cereal grains and cereal products,v64476201,1.1.1.44,359
2011,Canada,Average expenditure per household,All classes,Cereal grains and cereal products,v64476201,1.1.1.44,335
