"Table 026-0001 Building permits, residential values and number of units, by type of dwelling, monthly(1)"
Survey or program details:
Building Permits Survey - 2802
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,"Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] "
Type of dwelling,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions
Estimates,Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)"
Jan-1980,7387,263437,2773,130565,38,548,413,16112,407,13105,3641,101865,115,1242,1420,57027,653,33555,3,46,173,6586,120,3260,467,13508,4,72,497,24578,365,19572,0,0,91,3719,17,744,23,500,1,43,579,20603,119,6436,0,0,16,646,103,2516,339,10980,2,25
Feb-1980,7880,318291,4413,214399,16,319,400,15654,434,14551,2521,72276,96,1092,2250,99478,1001,56218,1,4,112,4668,111,5488,1022,32839,3,261,1143,51713,488,28435,0,0,94,3889,78,3243,480,15885,3,261,685,28304,199,11652,0,0,4,196,33,2245,449,14211,0,0
Mar-1980,11172,482492,6591,326655,46,820,808,32578,814,33860,2755,87305,158,1274,2446,119437,1320,75221,2,71,193,7882,443,20861,486,15365,2,37,944,52232,514,30497,0,0,74,3127,297,16916,57,1655,2,37,752,32488,289,17573,0,0,66,2848,120,3165,277,8902,0,0
Apr-1980,13820,573592,8296,408718,224,3389,1062,42519,469,19827,3602,97439,167,1700,2400,123324,1502,88916,11,290,170,8236,104,5132,607,20663,6,87,778,44025,478,29394,0,0,70,2865,72,3889,154,7831,4,46,534,28279,311,21191,0,0,56,3875,0,0,166,3184,1,29
May-1980,12975,533591,8004,383557,313,5244,684,25573,835,28664,2950,88868,189,1685,2911,135472,1717,90887,23,410,225,9083,437,17261,504,17779,5,52,1173,56130,577,30576,0,0,107,4294,382,15607,106,5646,1,7,411,21921,266,16180,0,0,54,2410,49,1504,42,1827,0,0
Jun-1980,16101,659609,9273,449055,384,5936,1159,46465,1231,44638,3907,111524,147,1991,3716,166166,2087,110421,39,834,306,13376,618,21621,651,19486,15,428,1152,50503,443,23987,0,0,118,4946,322,11996,264,9446,5,128,1083,46698,512,27796,0,0,144,6816,267,8226,160,3860,0,0
Jul-1980,13826,565837,8554,411930,298,4867,733,28865,632,22280,3396,95189,213,2706,3433,140603,1681,90012,4,51,150,6157,171,4988,1423,39295,4,100,1154,46352,440,22654,0,0,56,2390,39,1268,616,19970,3,70,1036,37971,345,20792,0,0,52,2129,105,2910,534,12140,0,0
Aug-1980,15595,655482,8589,427310,248,3658,904,36613,1217,40692,4535,145967,102,1242,3846,185745,1983,112409,2,110,232,9593,366,13263,1262,50340,1,30,1042,58813,538,30327,0,0,94,3631,0,0,410,24855,0,0,1370,62516,487,31974,0,0,74,3271,312,10863,497,16408,0,0
