"Table 026-0013 Residential values, by type of investment, quarterly (dollars x 1,000)"
Survey or program details:
Residential Construction Investment - 5016
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta
Type of investment,Total residential investment,"New dwellings, all types",Singles,Doubles,Row (1),Apartments,Conversions,Total acquisition costs,Renovations,Cottages (2),Mobiles,Total residential investment,"New dwellings, all types",Singles,Doubles,Row (1),Apartments,Conversions,Total acquisition costs,Renovations,Cottages (2),Mobiles
Q1 1980,2508421,1785147,1035720,142259,132449,474719,3423,157824,519001,25905,17121,502226,411853,240183,30817,34421,106432,125,36708,46409,881,6250
Q2 1980,3646925,1898463,1154126,136660,136481,471196,6261,167575,1401001,120886,52739,614373,432967,252309,33555,41345,105758,252,37232,127499,4110,12313
Q3 1980,4469105,2146830,1396131,147469,132884,470346,8104,186093,1869998,194279,63801,720844,476093,284109,40238,52508,99238,796,41990,170657,6605,24703
Q4 1980,4034671,2186415,1430290,142351,140036,473738,15125,186221,1499999,90665,56246,695368,486296,302302,33403,55988,94603,1047,43401,136435,3083,25106
Q1 1981,2814314,1885682,1195329,138691,120314,431348,10583,163922,697001,28225,28901,549173,437960,270064,32734,46321,88841,247,38539,60077,960,11390
Q2 1981,4849385,2575486,1704327,167477,145006,558676,13105,229936,1833000,131717,66141,807416,571575,372119,31192,54966,113298,951,49836,165591,4478,14985
Q3 1981,5708572,3020412,1956599,180967,196362,686484,15289,256697,2138001,211688,66485,886712,600670,364302,26158,60745,149465,432,61644,193897,7197,22872
Q4 1981,4406511,2316406,1249448,124308,205266,737384,13584,246373,1685000,98789,46359,730351,504611,256551,16951,62418,168691,108,55722,153435,3359,13116
Q1 1982,2862383,1773225,662863,113639,206976,789747,8933,164217,869001,24959,22048,532710,415554,154612,19431,59239,182272,595,39256,69337,849,7119
Q2 1982,4077612,1899353,745057,96854,209881,847561,8803,188897,1822000,116472,42087,687879,468246,186948,19858,64451,196989,687,55714,150753,3960,8519
Q3 1982,4529287,1835507,873935,68860,175752,716960,21229,212084,2222001,187186,51280,691300,431063,156659,11570,58135,204699,234,57107,184525,6364,12007
Q4 1982,3884286,1687429,920001,63756,138631,565041,12804,186037,1858002,87352,52662,537759,328981,131327,5577,41213,150864,685,37905,154385,2970,12833
Q1 1983,2698913,1605752,966560,78296,108624,452272,21037,171047,845000,28841,27236,363101,262173,126081,6228,25843,104021,103,37036,60289,981,2519
Q2 1983,5072913,2571654,1865810,99494,115645,490705,19180,190919,2106000,134589,50571,531380,326885,212878,6465,24051,83491,611,38141,153422,4576,7745
Q3 1983,6142724,2841101,2064585,101251,127600,547665,19128,229676,2785000,216305,51514,571834,321008,232078,6251,19217,63462,644,28982,204553,7354,9293
Q4 1983,4622035,2150838,1475756,73161,119739,482182,29769,212003,2093000,100942,35483,418515,223427,168416,3718,14045,37248,206,30058,152736,3432,8656
